Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
MALE,MARRIED,1,COLLEGE,NO,4583,1508,128,360,YES,RURAL,N
MALE,MARRIED,0,COLLEGE,YES,3000,0,66,360,YES,URBAN,Y
MALE,MARRIED,0,HIGH_SCHOOL,NO,2583,2358,120,360,YES,URBAN,Y
MALE,SINGLE,0,COLLEGE,NO,6000,0,141,360,YES,URBAN,Y
MALE,MARRIED,2,COLLEGE,YES,5417,4196,267,360,YES,URBAN,Y
MALE,MARRIED,0,HIGH_SCHOOL,NO,2333,1516,95,360,YES,URBAN,Y
MALE,MARRIED,3,COLLEGE,NO,3036,2504,158,360,NO,SUBURBAN,N
MALE,MARRIED,2,COLLEGE,NO,4006,1526,168,360,YES,URBAN,Y
MALE,MARRIED,1,COLLEGE,NO,12841,10968,349,360,YES,SUBURBAN,N
MALE,MARRIED,2,COLLEGE,NO,3200,700,70,360,YES,URBAN,Y
MALE,MARRIED,2,COLLEGE,NO,3073,8106,200,360,YES,URBAN,Y
MALE,SINGLE,0,COLLEGE,NO,1853,2840,114,360,YES,RURAL,N
MALE,MARRIED,2,COLLEGE,NO,1299,1086,17,120,YES,URBAN,Y
MALE,SINGLE,0,COLLEGE,NO,4950,0,125,360,YES,URBAN,Y
FEMALE,SINGLE,0,COLLEGE,NO,3510,0,76,360,NO,URBAN,N
MALE,MARRIED,0,HIGH_SCHOOL,NO,4887,0,133,360,YES,RURAL,N
MALE,MARRIED,0,HIGH_SCHOOL,NO,7660,0,104,360,NO,URBAN,N
MALE,MARRIED,1,COLLEGE,NO,5955,5625,315,360,YES,URBAN,Y
MALE,MARRIED,0,HIGH_SCHOOL,NO,2600,1911,116,360,NO,SUBURBAN,N
MALE,MARRIED,2,HIGH_SCHOOL,NO,3365,1917,112,360,NO,RURAL,N
MALE,MARRIED,0,COLLEGE,YES,9560,0,191,360,YES,SUBURBAN,Y
MALE,MARRIED,0,COLLEGE,NO,2799,2253,122,360,YES,SUBURBAN,Y
MALE,MARRIED,2,HIGH_SCHOOL,NO,4226,1040,110,360,YES,URBAN,Y
MALE,SINGLE,0,HIGH_SCHOOL,NO,1442,0,35,360,YES,URBAN,N
MALE,SINGLE,0,COLLEGE,NO,3167,0,74,360,YES,URBAN,N
MALE,SINGLE,1,COLLEGE,YES,4692,0,106,360,YES,RURAL,N
MALE,MARRIED,0,COLLEGE,NO,3500,1667,114,360,YES,SUBURBAN,Y
MALE,SINGLE,3,COLLEGE,NO,12500,3000,320,360,YES,RURAL,N
FEMALE,MARRIED,0,COLLEGE,NO,3667,1459,144,360,YES,SUBURBAN,Y
MALE,SINGLE,0,COLLEGE,NO,4166,7210,184,360,YES,URBAN,Y
MALE,SINGLE,0,HIGH_SCHOOL,NO,3748,1668,110,360,YES,SUBURBAN,Y
MALE,SINGLE,0,COLLEGE,NO,3600,0,80,360,YES,URBAN,N
MALE,SINGLE,0,COLLEGE,NO,1800,1213,47,360,YES,URBAN,Y
MALE,MARRIED,0,COLLEGE,NO,3941,2336,134,360,YES,SUBURBAN,Y
MALE,MARRIED,1,COLLEGE,NO,5649,0,44,360,YES,URBAN,Y
MALE,MARRIED,0,COLLEGE,NO,5821,0,144,360,YES,URBAN,Y
FEMALE,MARRIED,0,COLLEGE,NO,2645,3440,120,360,NO,URBAN,N
FEMALE,SINGLE,0,COLLEGE,NO,4000,2275,144,360,YES,SUBURBAN,Y
FEMALE,MARRIED,0,HIGH_SCHOOL,NO,1928,1644,100,360,YES,SUBURBAN,Y
FEMALE,SINGLE,0,COLLEGE,NO,3086,0,120,360,YES,SUBURBAN,Y
FEMALE,SINGLE,0,COLLEGE,NO,4230,0,112,360,YES,SUBURBAN,N
MALE,MARRIED,2,COLLEGE,NO,4616,0,134,360,YES,URBAN,N
FEMALE,MARRIED,1,COLLEGE,YES,11500,0,286,360,NO,URBAN,N
MALE,MARRIED,2,COLLEGE,NO,2708,1167,97,360,YES,SUBURBAN,Y
MALE,MARRIED,0,COLLEGE,NO,2132,1591,96,360,YES,SUBURBAN,Y
MALE,MARRIED,0,COLLEGE,NO,3366,2200,135,360,YES,RURAL,N
MALE,MARRIED,1,COLLEGE,NO,8080,2250,180,360,YES,URBAN,Y
MALE,MARRIED,2,HIGH_SCHOOL,NO,3357,2859,144,360,YES,URBAN,Y
MALE,MARRIED,0,COLLEGE,NO,2500,3796,120,360,YES,URBAN,Y
MALE,MARRIED,3,COLLEGE,NO,3029,0,99,360,YES,URBAN,Y
MALE,MARRIED,0,HIGH_SCHOOL,YES,2609,3449,165,180,NO,RURAL,N
FEMALE,SINGLE,0,COLLEGE,NO,4166,0,116,360,NO,SUBURBAN,N
MALE,MARRIED,0,COLLEGE,NO,5726,4595,258,360,YES,SUBURBAN,N
MALE,SINGLE,0,HIGH_SCHOOL,NO,3200,2254,126,180,NO,URBAN,N
MALE,MARRIED,1,COLLEGE,NO,10750,0,312,360,YES,URBAN,Y
MALE,MARRIED,3,HIGH_SCHOOL,YES,7100,0,125,60,YES,URBAN,Y
FEMALE,SINGLE,0,COLLEGE,NO,4300,0,136,360,NO,SUBURBAN,N
MALE,MARRIED,0,COLLEGE,NO,3208,3066,172,360,YES,URBAN,Y
MALE,MARRIED,2,HIGH_SCHOOL,YES,1875,1875,97,360,YES,SUBURBAN,Y
MALE,SINGLE,0,COLLEGE,NO,3500,0,81,300,YES,SUBURBAN,Y
MALE,MARRIED,3,COLLEGE,YES,5266,1774,187,360,YES,SUBURBAN,Y
MALE,SINGLE,0,COLLEGE,NO,3750,0,113,480,YES,URBAN,N
MALE,SINGLE,0,COLLEGE,NO,3750,4750,176,360,YES,URBAN,N
MALE,MARRIED,1,COLLEGE,YES,1000,3022,110,360,YES,URBAN,N
MALE,MARRIED,3,COLLEGE,NO,3167,4000,180,300,NO,SUBURBAN,N
FEMALE,SINGLE,0,COLLEGE,NO,3846,0,111,360,YES,SUBURBAN,Y
FEMALE,MARRIED,2,COLLEGE,NO,1378,1881,167,360,YES,URBAN,N
MALE,MARRIED,1,COLLEGE,NO,3988,0,50,240,YES,URBAN,Y
MALE,SINGLE,0,COLLEGE,NO,2366,2531,136,360,YES,SUBURBAN,Y
MALE,MARRIED,0,COLLEGE,NO,2500,2118,104,360,YES,SUBURBAN,Y
MALE,SINGLE,0,COLLEGE,NO,8566,0,210,360,YES,URBAN,Y
MALE,MARRIED,0,COLLEGE,NO,5695,4167,175,360,YES,SUBURBAN,Y
MALE,MARRIED,0,COLLEGE,NO,2958,2900,131,360,YES,SUBURBAN,Y
MALE,MARRIED,2,COLLEGE,NO,6250,5654,188,180,YES,SUBURBAN,Y
MALE,MARRIED,2,HIGH_SCHOOL,NO,3273,1820,81,360,YES,URBAN,Y
MALE,SINGLE,0,COLLEGE,NO,4133,0,122,360,YES,SUBURBAN,Y
MALE,SINGLE,0,HIGH_SCHOOL,NO,3620,0,25,120,YES,SUBURBAN,Y
FEMALE,MARRIED,0,COLLEGE,NO,2484,2302,137,360,YES,SUBURBAN,Y
MALE,MARRIED,0,COLLEGE,NO,1977,997,50,360,YES,SUBURBAN,Y
MALE,MARRIED,0,HIGH_SCHOOL,NO,4188,0,115,180,YES,SUBURBAN,Y
MALE,MARRIED,0,COLLEGE,NO,1759,3541,131,360,YES,SUBURBAN,Y
MALE,MARRIED,2,HIGH_SCHOOL,NO,4288,3263,133,180,YES,URBAN,Y
MALE,SINGLE,0,COLLEGE,NO,4843,3806,151,360,YES,SUBURBAN,Y
MALE,MARRIED,0,COLLEGE,NO,3816,754,160,360,YES,URBAN,Y
MALE,MARRIED,1,COLLEGE,NO,3052,1030,100,360,YES,URBAN,Y
MALE,MARRIED,2,COLLEGE,NO,11417,1126,225,360,YES,URBAN,Y
MALE,MARRIED,2,COLLEGE,NO,3800,3600,216,360,NO,URBAN,N
MALE,MARRIED,3,HIGH_SCHOOL,NO,2071,754,94,480,YES,SUBURBAN,Y
MALE,SINGLE,0,COLLEGE,NO,5316,0,136,360,YES,URBAN,Y
MALE,MARRIED,1,COLLEGE,NO,14583,0,185,180,YES,RURAL,Y
FEMALE,MARRIED,0,COLLEGE,NO,3167,2283,154,360,YES,SUBURBAN,Y
MALE,MARRIED,0,COLLEGE,NO,5568,2142,175,360,YES,RURAL,N
FEMALE,SINGLE,0,COLLEGE,NO,10408,0,259,360,YES,URBAN,Y
MALE,MARRIED,0,COLLEGE,NO,5667,2667,180,360,YES,RURAL,Y
FEMALE,SINGLE,0,COLLEGE,NO,4166,0,44,360,YES,SUBURBAN,Y
FEMALE,SINGLE,0,COLLEGE,NO,2137,8980,137,360,NO,SUBURBAN,Y
MALE,MARRIED,2,COLLEGE,NO,2957,0,81,360,YES,SUBURBAN,Y
MALE,MARRIED,0,HIGH_SCHOOL,NO,4300,2014,194,360,YES,RURAL,Y
FEMALE,MARRIED,3,COLLEGE,NO,23803,0,370,360,YES,RURAL,Y
MALE,MARRIED,1,COLLEGE,YES,10513,3850,160,180,NO,URBAN,N
MALE,SINGLE,0,COLLEGE,NO,2014,1929,74,360,YES,URBAN,Y
MALE,SINGLE,0,COLLEGE,NO,2718,0,70,360,YES,SUBURBAN,Y
MALE,MARRIED,0,COLLEGE,YES,3459,0,25,120,YES,SUBURBAN,Y
MALE,SINGLE,0,COLLEGE,NO,4895,0,102,360,YES,SUBURBAN,Y
MALE,MARRIED,3,COLLEGE,NO,4000,7750,290,360,YES,SUBURBAN,N
FEMALE,MARRIED,0,COLLEGE,NO,4583,0,84,360,YES,RURAL,N
MALE,MARRIED,2,COLLEGE,YES,3316,3500,88,360,YES,URBAN,Y
MALE,SINGLE,0,COLLEGE,NO,14999,0,242,360,NO,SUBURBAN,N
MALE,MARRIED,2,HIGH_SCHOOL,NO,4200,1430,129,360,YES,RURAL,N
MALE,MARRIED,2,COLLEGE,NO,5042,2083,185,360,YES,RURAL,N
MALE,SINGLE,0,COLLEGE,NO,5417,0,168,360,YES,URBAN,Y
MALE,SINGLE,0,COLLEGE,YES,6950,0,175,180,YES,SUBURBAN,Y
MALE,MARRIED,0,COLLEGE,NO,2698,2034,122,360,YES,SUBURBAN,Y
MALE,MARRIED,2,COLLEGE,NO,11757,0,187,180,YES,URBAN,Y
